Project key,Project name,Parent key,Parent summary,WBSO yes/no,mapping to WBSO,wbso_project,wbso_tb
YODA,YODA,YODA-1504,"[Audit] Maintenance, improvements and aftercare 2026",no,,,
YODA,YODA,YODA-1735,[CVS] Multi region,yes,SP-01 / TB1,SP-01 , TB1
YODA,YODA,YODA-1736,[UK Adapter] Multi region,yes,SP-01 / TB1,SP-01 , TB1
YODA,YODA,YODA-1734,[CBI outbound] Multi region,yes,SP-01 / TB1,SP-01 , TB1
YODA,YODA,YODA-1672,Multi Region by Yoda,yes,SP-01 / TB1,SP-01 , TB1
YODA,YODA,YODA-928,Yoda-care,no,,,
YODA,YODA,YODA-1801,[DashboardApi] Multi region,yes,SP-01 / TB1,SP-01 , TB1
YODA,YODA,YODA-1737,[OPA VOP] Multi region,yes,SP-01 / TB1,SP-01 , TB1
YODA,YODA,YODA-848,[DashboardAPI]V1.1 - maintenance,no,,,
YODA,YODA,YODA-1790,[platform-eu-cross-border-adapters] Multi region,yes,SP-01 / TB1,SP-01 , TB1
YODA,YODA,YODA-1772,Reduce master node size to M and enable autoscaling,yes,SP-01 / TB1,SP-01 , TB1
YODA,YODA,YODA-72,Maintenance and improvements by Team Yoda,no,,,
YODA,YODA,YODA-1733,[FCA] Multi region,yes,SP-01 / TB1,SP-01 , TB1
YODA,YODA,YODA-1676,Adjust metadata BIC field to correspond to the specifications,yes,SP-01 / TB5,SP-01 , TB5
YODA,YODA,YODA-1473,[FluentD]Update FluentD config to push back to s3 on failure,yes,SP-01 / TB5,SP-01 , TB5
YODA,YODA,YODA-1428,[Audit] Billing 1.0,no,,,
YODA,YODA,YODA-1656,[Audit] Cross cluster search,yes,SP-01 / TB5,SP-01 , TB5
YODA,YODA,YODA-1413,OPA VOP for JPM,yes,SP-01 / TB1,SP-01 , TB1
YODA,YODA,YODA-155,[FCA] maintenance,no,,,
YODA,YODA,YODA-172,Observability Platform,yes,SP-01 / TB4,SP-01 , TB4
YODA,YODA,YODA-1645,[ACC] Create all VOP Audit clusters with correct FluentD config,yes,SP-01 / TB5,SP-01 , TB5
YODA,YODA,YODA-1565,[Audit] Add second cluster: Ireland,yes,SP-01 / TB5,SP-01 , TB5
YODA,YODA,YODA-1636,[PRD] Deploy OPA,yes,SP-01 / TB1,SP-01 , TB1
YODA,YODA,YODA-1590,[PRD] Create IE cluster,yes,SP-01 / TB5,SP-01 , TB5
YODA,YODA,YODA-1596,[PRD] Create NL Cluster,yes,SP-01 / TB5,SP-01 , TB5
